"ca","k","MAP","c","h3","d","pkx","optwL","P50","pxmin","pxgs50","slope"
400,0.05,1825,2.64,1,1,0.5,0.238815224,-0.870375412543876,-0.837038588362392,-0.837038574209871,8.11098619561893e-08
400,0.05,1825,2.64,1,2,0.5,0.200000888,-1.74075082508775,-1.82027603449704,-1.82027600029339,0.105281410262906
400,0.05,1825,2.64,1,3,0.5,0.178734773,-2.61112623763163,-2.97838905766478,-2.97838896509167,0.225848746183868
400,0.05,1825,2.64,1,4,0.5,0.164681892,-3.4815016501755,-4.26332323047282,-4.26332303845681,0.310387534394961
400,0.05,1825,2.64,1,5,0.5,0.154434137,-4.35187706271938,-5.6488676061588,-5.22888826819791,0.372054834429119
400,0.05,1825,2.64,1,6,0.5,0.146555802,-5.22225247526326,-7.10499640413727,-5.99008841546248,0.417713287296079
400,0.05,1825,2.64,1,7,0.5,0.140226702,-6.09262788780713,-8.62062037741041,-6.76787655930026,0.453228452485581
400,0.05,1825,2.64,1,8,0.5,0.13499007,-6.96300330035101,-10.1843917752067,-7.55220715174852,0.481676849529617
400,0.05,1825,2.64,1,9,0.5,0.130556622,-7.83337871289488,-11.7884818005642,-8.33977315808708,0.505073363595173
400,0.05,1825,2.64,1,10,0.5,0.12681344,-8.70375412543876,-13.390387270486,-9.14081715318498,0.523201154804704
400,0.05,1825,2.64,10,1,0.5,0.249306153,-0.870375412543876,-0.693372399356314,-0.693372393332639,0.160069438584582
400,0.05,1825,2.64,10,2,0.5,0.206910328,-1.74075082508775,-1.56866849976648,-1.56866849716965,0.33556426927504
400,0.05,1825,2.64,10,3,0.5,0.184815566,-2.61112623763163,-2.57242217522647,-2.5724221455044,0.43917314477972
400,0.05,1825,2.64,10,4,0.5,0.170278237,-3.4815016501755,-3.68281603194034,-3.68281594316596,0.508699965776748
400,0.05,1825,2.64,10,5,0.5,0.159746981,-4.35187706271938,-4.87104370567054,-4.5951950527353,0.558023750623377
400,0.05,1825,2.64,10,6,0.5,0.151582936,-5.22225247526326,-6.12926920264434,-5.25943988327134,0.595702741145441
400,0.05,1825,2.64,10,7,0.5,0.144992154,-6.09262788780713,-7.44677370795867,-5.91631881913787,0.625637416615601
400,0.05,1825,2.64,10,8,0.5,0.139475231,-6.96300330035101,-8.82591667523154,-6.56046643775576,0.650655110338358
400,0.05,1825,2.64,10,9,0.5,0.134854655,-7.83337871289488,-10.229260700229,-7.20074547782764,0.670751529557566
400,0.05,1825,2.64,10,10,0.5,0.130846915,-8.70375412543876,-11.6743577646955,-7.83097617373136,0.68808543437965
400,0.05,1825,2.64,25,1,0.5,0.261192313,-0.870375412543876,-0.565419214053946,-0.565419213692484,0.242216347380387
400,0.05,1825,2.64,25,2,0.5,0.21657038,-1.74075082508775,-1.28449730987731,-1.28449730017958,0.402097486114532
400,0.05,1825,2.64,25,3,0.5,0.19374321,-2.61112623763163,-2.09220891290175,-2.09220888196387,0.493683121235947
400,0.05,1825,2.64,25,4,0.5,0.178967148,-3.4815016501755,-2.96148781720965,-2.96148777051534,0.552872634173374
400,0.05,1825,2.64,25,5,0.5,0.16825548,-4.35187706271938,-3.88071634959971,-3.63827705666641,0.595205822305775
400,0.05,1825,2.64,25,6,0.5,0.160027101,-5.22225247526326,-4.83380782062093,-4.23036653568619,0.626633981079991
400,0.05,1825,2.64,25,7,0.5,0.153353057,-6.09262788780713,-5.82537916799151,-4.79815658530735,0.651959815786385
400,0.05,1825,2.64,25,8,0.5,0.14774683,-6.96300330035101,-6.85752634611197,-5.34641868372798,0.673339262901272
400,0.05,1825,2.64,25,9,0.5,0.143022747,-7.83337871289488,-7.90647082060109,-5.87929700432467,0.69062781003563
400,0.05,1825,2.64,25,10,0.5,0.138945576,-8.70375412543876,-8.97422984773388,-6.39872585105934,0.705173459309321
400,0.05,1825,2.64,100,1,0.5,0.290431092,-0.870375412543876,-0.355245236070173,-0.355245238425433,0.287194490578301
400,0.05,1825,2.64,100,2,0.5,0.239708751,-1.74075082508775,-0.823458353392791,-0.82345835392756,0.435035034316058
400,0.05,1825,2.64,100,3,0.5,0.214838716,-2.61112623763163,-1.33046702541952,-1.33046702061349,0.514441520070069
400,0.05,1825,2.64,100,4,0.5,0.198913442,-3.4815016501755,-1.86426728349571,-1.79033232992663,0.565959738763093
400,0.05,1825,2.64,100,5,0.5,0.187505532,-4.35187706271938,-2.41465661964163,-2.20285433477108,0.601864344812444
400,0.05,1825,2.64,100,6,0.5,0.178741634,-5.22225247526326,-2.97788830672049,-2.5948630529088,0.628784449776081
400,0.05,1825,2.64,100,7,0.5,0.171684362,-6.09262788780713,-3.55251924292898,-2.96993775008486,0.650147345213099
400,0.05,1825,2.64,100,8,0.5,0.165826204,-6.96300330035101,-4.13595913347237,-3.33080002425883,0.667549546330877
400,0.05,1825,2.64,100,9,0.5,0.160795581,-7.83337871289488,-4.73343566394612,-3.67967495582572,0.682889861583391
400,0.05,1825,2.64,100,10,0.5,0.156486806,-8.70375412543876,-5.33144135369857,-4.01795423555705,0.695254638106119
400,0.025,1825,2.64,25,1,0.5,0.263535255,-0.870375412543876,-0.543730224696686,-0.543730222025352,0.205008914625872
400,0.025,1825,2.64,25,2,0.5,0.218616351,-1.74075082508775,-1.23267080223206,-1.23267078788474,0.371914675509892
400,0.025,1825,2.64,25,3,0.5,0.195575156,-2.61112623763163,-2.00771996751019,-2.00771993340889,0.468047852824696
400,0.025,1825,2.64,25,4,0.5,0.180621789,-3.4815016501755,-2.84448641549441,-2.84448640521092,0.530558509888543
400,0.025,1825,2.64,25,5,0.5,0.169773389,-4.35187706271938,-3.73102491206052,-3.65232742568551,0.575265267110079
400,0.025,1825,2.64,25,6,0.5,0.161385205,-5.22225247526326,-4.65815559633306,-4.2423327512697,0.609130957237387
400,0.025,1825,2.64,25,7,0.5,0.154617452,-6.09262788780713,-5.61959212027017,-4.80825418440064,0.635883029247384
400,0.025,1825,2.64,25,8,0.5,0.149001953,-6.96300330035101,-6.60809518330241,-5.35502909716346,0.65752191244335
400,0.025,1825,2.64,25,9,0.5,0.144212631,-7.83337871289488,-7.62469760498552,-5.88577353797876,0.675726598085538
400,0.025,1825,2.64,25,10,0.5,0.140065376,-8.70375412543876,-8.66419489143085,-6.402961762836,0.69120849726157
400,0.1,1825,2.64,25,1,0.5,0.258284489,-0.870375412543876,-0.593835843401498,-0.593835845910761,0.288619108822446
400,0.1,1825,2.64,25,2,0.5,0.214118733,-1.74075082508775,-1.35017369281369,-1.3501736883774,0.438472706618873
400,0.1,1825,2.64,25,3,0.5,0.191701301,-2.61112623763163,-2.19159001122011,-2.19158998648259,0.522567141530216
400,0.1,1825,2.64,25,4,0.5,0.177226262,-3.4815016501755,-3.09103625165286,-2.99780754041774,0.576731626962832
400,0.1,1825,2.64,25,5,0.5,0.166697023,-4.35187706271938,-4.04215648999584,-3.62220422380683,0.616128943379072
400,0.1,1825,2.64,25,6,0.5,0.158509625,-5.22225247526326,-5.03980086793479,-4.21518910552859,0.646737878516366
400,0.1,1825,2.64,25,7,0.5,0.151944809,-6.09262788780713,-6.0655889293612,-4.78511298174687,0.670461597236702
400,0.1,1825,2.64,25,8,0.5,0.14652001,-6.96300330035101,-7.11260153593493,-5.33637044569503,0.689386452310822
400,0.1,1825,2.64,25,9,0.5,0.141900341,-7.83337871289488,-8.18407521192672,-5.87165640035849,0.705273053039438
400,0.1,1825,2.64,25,10,0.5,0.137809558,-8.70375412543876,-9.30279749130048,-6.39278271249409,0.720018510720636
400,0.05,912.5,2.64,25,1,0.5,0.25647201,-0.870375412543876,-0.612437791418416,-0.612437795704833,0.317897464724758
400,0.05,912.5,2.64,25,2,0.5,0.25647201,-1.74075082508775,-0.612437794984615,-0.612437790089201,7.142737708362e-09
400,0.05,912.5,2.64,25,3,0.5,0.190288118,-2.61112623763163,-2.26377863485201,-2.26377862599281,0.542966711812429
400,0.05,912.5,2.64,25,4,0.5,0.175963767,-3.4815016501755,-3.18935776394181,-2.98404188212434,0.594480182987849
400,0.05,912.5,2.64,25,5,0.5,0.165645872,-4.35187706271938,-4.15571708371673,-3.61036389198601,0.630665059978213
400,0.05,912.5,2.64,25,6,0.5,0.157617574,-5.22225247526326,-5.16593290792272,-4.20531494271801,0.658974492346504
400,0.05,912.5,2.64,25,7,0.5,0.151145452,-6.09262788780713,-6.20735542317107,-4.7768000982059,0.681380324855931
400,0.05,912.5,2.64,25,8,0.5,0.14579554,-6.96300330035101,-7.26870942752571,-5.32961434990127,0.69925570789503
400,0.05,912.5,2.64,25,9,0.5,0.141196943,-7.83337871289488,-8.36415911711724,-5.86604191327081,0.714863126711625
400,0.05,912.5,2.64,25,10,0.5,0.137235766,-8.70375412543876,-9.4743680891181,-6.38909088748821,0.727876035164776
400,0.05,3650,2.64,25,1,0.5,0.265692999,-0.870375412543876,-0.524653039603273,-0.524653035099446,0.170672526609791
400,0.05,3650,2.64,25,2,0.5,0.220767308,-1.74075082508775,-1.1809263720411,-1.18092635303394,0.340089443048074
400,0.05,3650,2.64,25,3,0.5,0.197482646,-2.61112623763163,-1.92415621761179,-1.92415621025879,0.441375810837562
400,0.05,3650,2.64,25,4,0.5,0.182291182,-3.4815016501755,-2.73214334499098,-2.73214332824152,0.508164519289749
400,0.05,3650,2.64,25,5,0.5,0.171283706,-4.35187706271938,-3.58906045877548,-3.58906042455131,0.555621694008154
400,0.05,3650,2.64,25,6,0.5,0.162749058,-5.22225247526326,-4.48958419952437,-4.25294746248971,0.591800551448012
400,0.05,3650,2.64,25,7,0.5,0.155802048,-6.09262788780713,-5.4348383250454,-4.81645894819695,0.621089491122123
400,0.05,3650,2.64,25,8,0.5,0.150090452,-6.96300330035101,-6.40074687816793,-5.36126678186824,0.644110139683282
400,0.05,3650,2.64,25,9,0.5,0.145165342,-7.83337871289488,-7.40793897417008,-5.88988130412836,0.664099038417239
400,0.05,3650,2.64,25,10,0.5,0.140977178,-8.70375412543876,-8.42141896109941,-6.4053568155483,0.680164138812567
400,0.05,1825,2.64,25,1,0.25,0.2540921,-0.870375412543876,-0.637963430993053,-0.637963426527281,0.0775752321695508
400,0.05,1825,2.64,25,2,0.25,0.212112403,-1.74075082508775,-1.40701172448513,-1.40701172467914,0.263188434170787
400,0.05,1825,2.64,25,3,0.25,0.190134627,-2.61112623763163,-2.27179397335319,-2.27179396585961,0.370582632641494
400,0.05,1825,2.64,25,4,0.25,0.175732909,-3.4815016501755,-3.20774993872419,-3.20774992183747,0.440502467969325
400,0.05,1825,2.64,25,5,0.25,0.165199237,-4.35187706271938,-4.20515369866778,-4.20515365740312,0.490782641326856
400,0.05,1825,2.64,25,6,0.25,0.157083141,-5.22225247526326,-5.24335824819887,-5.24335820946935,0.528130364056853
400,0.05,1825,2.64,25,7,0.25,0.150437019,-6.09262788780713,-6.33641201852295,-6.33641196081985,0.558533376906795
400,0.05,1825,2.64,25,8,0.25,0.144990527,-6.96300330035101,-7.44713980035118,-7.44713972410659,0.582272255198533
400,0.05,1825,2.64,25,9,0.25,0.140266808,-7.83337871289488,-8.60982959497296,-8.60982950082775,0.602977721478216
400,0.05,1825,2.64,25,10,0.25,0.13619304,-8.70375412543876,-9.79622060271473,-9.79622053516349,0.620352498039666
400,0.05,1825,2.64,25,1,0.75,0.264470337,-0.870375412543876,-0.535360044916579,-0.53536004377086,0.346476444189621
400,0.05,1825,2.64,25,2,0.75,0.21836788,-1.74075082508775,-1.23882601525388,-1.2342748600802,0.494752674602102
400,0.05,1825,2.64,25,3,0.75,0.195374065,-2.61112623763163,-2.01678685269903,-1.83489692182239,0.574493113162331
400,0.05,1825,2.64,25,4,0.75,0.180600369,-3.4815016501755,-2.84596437847046,-2.39559730591141,0.62566489132196
400,0.05,1825,2.64,25,5,0.75,0.170034603,-4.35187706271938,-3.70598493426687,-2.92532473518616,0.660693413979983
400,0.05,1825,2.64,25,6,0.75,0.16187785,-5.22225247526326,-4.59638229027632,-3.4302151484879,0.687417259509049
400,0.05,1825,2.64,25,7,0.75,0.1553018,-6.09262788780713,-5.51193456037424,-3.91478277751411,0.708669318576531
400,0.05,1825,2.64,25,8,0.75,0.149859212,-6.96300330035101,-6.44411956114905,-4.38232416484492,0.725695687960798
400,0.05,1825,2.64,25,9,0.75,0.145244257,-7.83337871289488,-7.39032592996708,-4.83526918178193,0.739723574820606
400,0.05,1825,2.64,25,10,0.75,0.141216843,-8.70375412543876,-8.35899788602632,-5.27554871591184,0.752192464262562
